epoch,train_loss,val_loss,val_macro_f1,lr
1,0.22396421980272554,0.1398475387366318,0.6765711358453999,0.0009990133642141358
2,0.1349823017997475,0.16758042465370862,0.7108826003135503,0.000996057350657239
3,0.11548677791565556,0.1199337401254404,0.6901206166219948,0.0009911436253643444
4,0.10181540448354223,0.13196765660018075,0.7344785668938874,0.0009842915805643156
5,0.09131948404057928,0.10197858134078484,0.7922297011021155,0.0009755282581475769
6,0.08162382122766536,0.09776962539683876,0.8245829312444768,0.0009648882429441258
7,0.07110788430734265,0.2652774166622636,0.7431701068781832,0.0009524135262330099
8,0.062415522146276575,0.11370590654852697,0.8218424989225537,0.0009381533400219318
9,0.053029538732843516,0.12928701825053576,0.8364438156431164,0.0009221639627510075
10,0.04564421387302035,0.14476613403404606,0.830894865021733,0.0009045084971874736
11,0.039861701339038186,0.1311815241029967,0.8306190035290132,0.0008852566213878945
12,0.03321597903478502,0.18741578914856777,0.7996898988668161,0.0008644843137107056
13,0.028712464676443596,0.1671171858293889,0.835523050983864,0.0008422735529643443
14,0.02392349234543805,0.2134233231660956,0.7950739763092598,0.0008187119948743448
15,0.021159760930698455,0.25682344950691915,0.7794663061983782,0.0007938926261462366
16,0.018235363547458753,0.17379230660321873,0.832428131806376,0.0007679133974894982
17,0.016835553569512475,0.1651407577807254,0.8421432238060428,0.0007408768370508576
18,0.0154783917612331,0.2861157633458313,0.8312863592876502,0.0007128896457825362
19,0.012949871125924885,0.24107373697624257,0.8316354934502745,0.0006840622763423389
20,0.012132318496821894,0.14761038210116284,0.8545992045154278,0.0006545084971874735
21,0.010050960747267279,0.2288431377663545,0.8492698530906323,0.0006243449435824271
22,0.009241991610566627,0.20974484946559194,0.833100089704947,0.0005936906572928622
23,0.007309310909806892,0.15698975140118077,0.8299144751025068,0.000562666616782152
24,0.006996628833142236,0.21976943447170322,0.8441380583268949,0.0005313952597646566
25,0.006702301103500421,0.1924551113946132,0.8660163736983626,0.0004999999999999998
26,0.004818933047714322,0.172190085659145,0.8553474797250042,0.00046860474023534314
27,0.005074771995434286,0.2631664126976321,0.8322390318304433,0.00043733338321784774
28,0.005089017106361366,0.19064696971498624,0.8619594655095395,0.00040630934270713756
29,0.0035080568060823513,0.24062658486640545,0.8612678083530474,0.00037565505641757246
30,0.002550330602784032,0.1984650415869378,0.8641816952068191,0.00034549150281252633
31,0.002666337078042442,0.22606051905887473,0.8627303049446949,0.00031593772365766105
32,0.002218686153518512,0.25882255590595343,0.7871197031715558,0.00028711035421746355
33,0.0023887842662405506,0.20262598188667302,0.863675453835903,0.0002591231629491422
34,0.0020155103315602136,0.2310618117842588,0.8591645614546399,0.00023208660251050145
35,0.0018253144224096936,0.2183383697167483,0.861163026798984,0.00020610737385376337
