,defect_density,height,width,defective_dies,total_dies
648310,0.47058823529411764,24,18,16,34
776401,0.3734793187347932,22,50,307,822
640766,0.36397748592870544,26,26,194,533
250279,0.36259877085162423,38,38,413,1139
712836,0.36046511627906974,25,27,186,516
734005,0.3562753036437247,33,29,264,741
773204,0.356071964017991,41,42,475,1334
647495,0.35294117647058826,24,13,12,34
250201,0.3520632133450395,38,38,401,1139
775570,0.3509015256588072,41,45,506,1442
250229,0.3494293239683933,38,38,398,1139
250283,0.3485513608428446,38,38,397,1139
250193,0.3476733977172959,38,38,396,1139
678411,0.34709193245778613,26,26,185,533
699538,0.34689922480620156,25,27,179,516
250179,0.34591747146619845,38,38,394,1139
